location,sex,population2010,meanpopulation,population2011
Entre Douro e Vouga,M,142126,142024,141921
Arouca,HM,22370,22315,22260
Arouca,H,10811,10771,10730
Arouca,M,11559,11545,11530
Oliveira de Azeméis,HM,68692,68520,68347
Oliveira de Azeméis,H,33326,33214,33102
Oliveira de Azeméis,M,35366,35306,35245
Santa Maria da Feira,HM,139401,139277,139152
Santa Maria da Feira,H,67467,67342,67217
Santa Maria da Feira,M,71934,71935,71935
São João da Madeira,HM,21701,21669,21637
São João da Madeira,H,10231,10195,10159
São João da Madeira,M,11470,11474,11478
Vale de Cambra,HM,22895,22813,22730
Vale de Cambra,H,11098,11048,10997
Vale de Cambra,M,11797,11765,11733
Douro,HM,206239,205391,204543
Douro,H,98632,98084,97535
Douro,M,107607,107308,107008
Alijó,HM,11959,11896,11833
Alijó,H,5773,5733,5693
Alijó,M,6186,6163,6140
Armamar,HM,6317,6277,6237
Armamar,H,2992,2964,2936
Armamar,M,3325,3313,3301
Carrazeda de Ansiães,HM,6389,6346,6303
Carrazeda de Ansiães,H,3083,3059,3034
Carrazeda de Ansiães,M,3306,3288,3269
Freixo de Espada à Cinta,HM,3793,3760,3727
Freixo de Espada à Cinta,H,1828,1813,1798
Freixo de Espada à Cinta,M,1965,1947,1929
Lamego,HM,26726,26639,26552
Lamego,H,12735,12680,12625
Lamego,M,13991,13959,13927
Mesão Frio,HM,4438,4423,4408
Mesão Frio,H,2122,2118,2113
Mesão Frio,M,2316,2306,2295
Moimenta da Beira,HM,10214,10182,10149
Moimenta da Beira,H,4888,4862,4836
Moimenta da Beira,M,5326,5320,5313
Penedono,HM,2960,2949,2937
Penedono,H,1418,1413,1407
Penedono,M,1542,1536,1530
Peso da Régua,HM,17138,17092,17046
Peso da Régua,H,8112,8086,8059
Peso da Régua,M,9026,9007,8987
Sabrosa,HM,6377,6347,6317
Sabrosa,H,3078,3056,3033
Sabrosa,M,3299,3292,3284
Santa Marta de Penaguião,HM,7373,7329,7284
Santa Marta de Penaguião,H,3469,3442,3415
Santa Marta de Penaguião,M,3904,3887,3869
São João da Pesqueira,HM,7899,7852,7804
São João da Pesqueira,H,3898,3864,3829
São João da Pesqueira,M,4001,3988,3975
Sernancelhe,HM,5678,5661,5644
Sernancelhe,H,2752,2743,2733
Sernancelhe,M,2926,2919,2911
Tabuaço,HM,6357,6331,6305
Tabuaço,H,3051,3033,3014
Tabuaço,M,3306,3299,3291
Tarouca,HM,8064,8025,7985
Tarouca,H,3909,3880,3851
Tarouca,M,4155,4145,4134
Torre de Moncorvo,HM,8600,8533,8466
Torre de Moncorvo,H,4118,4076,4033
Torre de Moncorvo,M,4482,4458,4433
Vila Flor,HM,6710,6669,6627
Vila Flor,H,3217,3187,3156
Vila Flor,M,3493,3482,3471
Vila Nova de Foz Côa,HM,7327,7276,7224
Vila Nova de Foz Côa,H,3468,3432,3395
Vila Nova de Foz Côa,M,3859,3844,3829
Vila Real,HM,51920,51808,51695
Vila Real,H,24721,24648,24575
Vila Real,M,27199,27160,27120
Alto Trás-os-Montes,HM,204848,203775,202701
Alto Trás-os-Montes,H,98514,97845,97176
Alto Trás-os-Montes,M,106334,105930,105525
Alfândega da Fé,HM,5112,5083,5054
Alfândega da Fé,H,2475,2460,2444
Alfândega da Fé,M,2637,2624,2610
Boticas,HM,5762,5737,5711
Boticas,H,2789,2772,2755
Boticas,M,2973,2965,2956
Bragança,HM,35401,35278,35155
Bragança,H,17003,16926,16848
Bragança,M,18398,18353,18307
Chaves,HM,41351,41147,40943
Chaves,H,19797,19674,19551
Chaves,M,21554,21473,21392
Macedo de Cavaleiros,HM,15801,15705,15609
Macedo de Cavaleiros,H,7507,7444,7381
Macedo de Cavaleiros,M,8294,8261,8228
Miranda do Douro,HM,7507,7452,7396
Miranda do Douro,H,3688,3656,3623
Miranda do Douro,M,3819,3796,3773
Mirandela,HM,23889,23806,23722
Mirandela,H,11364,11310,11256
Mirandela,M,12525,12496,12466
Mogadouro,HM,9567,9508,9448
Mogadouro,H,4711,4671,4630
Mogadouro,M,4856,4837,4818
Montalegre,HM,10573,10488,10402
Montalegre,H,5113,5062,5010
Montalegre,M,5460,5426,5392
Murça,HM,5959,5945,5931
Murça,H,2894,2888,2882
Murça,M,3065,3057,3049
Valpaços,HM,16926,16811,16695
Valpaços,H,8008,7933,7857
Valpaços,M,8918,8878,8838
Vila Pouca de Aguiar,HM,13210,13134,13057
Vila Pouca de Aguiar,H,6374,6328,6282
Vila Pouca de Aguiar,M,6836,6806,6775
Vimioso,HM,4696,4660,4623
Vimioso,H,2295,2275,2255
Vimioso,M,2401,2385,2368
Vinhais,HM,9094,9025,8955
Vinhais,H,4496,4449,4402
Vinhais,M,4598,4576,4553
Centro,HM,2330551,2325041,2319530
Centro,H,1113090,1109545,1106000
Centro,M,1217461,1215496,1213530
Baixo Vouga,HM,391086,390533,389979
Baixo Vouga,H,187267,186868,186469
Baixo Vouga,M,203819,203665,203510
Águeda,HM,47792,47689,47585
Águeda,H,22944,22878,22811
Águeda,M,24848,24811,24774
Albergaria-a-Velha,HM,25260,25225,25190
Albergaria-a-Velha,H,12225,12206,12186
Albergaria-a-Velha,M,13035,13020,13004
Anadia,HM,29166,29083,28999
Anadia,H,13977,13925,13873
Anadia,M,15189,15158,15126
Aveiro,HM,78451,78456,78461
Aveiro,H,37147,37134,37121
Aveiro,M,41304,41322,41340
Estarreja,HM,27005,26937,26868
Estarreja,H,13023,12981,12938
Estarreja,M,13982,13956,13930
Ílhavo,HM,38605,38577,38549
Ílhavo,H,18418,18384,18350
Ílhavo,M,20187,20193,20199
Mealhada,HM,20522,20473,20424
Mealhada,H,9869,9831,9793
Mealhada,M,10653,10642,10631
Murtosa,HM,10597,10558,10519
Murtosa,H,5100,5072,5043
Murtosa,M,5497,5487,5476
Oliveira do Bairro,HM,23026,22996,22965
Oliveira do Bairro,H,10908,10899,10889
Oliveira do Bairro,M,12118,12097,12076
Ovar,HM,55412,55346,55280
Ovar,H,26700,26649,26598
Ovar,M,28712,28697,28682
Sever do Vouga,HM,12385,12339,12292
Sever do Vouga,H,5973,5940,5907
Sever do Vouga,M,6412,6399,6385
Vagos,HM,22865,22856,22847
Vagos,H,10983,10972,10960
Vagos,M,11882,11885,11887
Baixo Mondego,HM,332550,332116,331681
Baixo Mondego,H,156755,156451,156146
Baixo Mondego,M,175795,175665,175535
Cantanhede,HM,36644,36560,36475
Cantanhede,H,17421,17360,17298
Cantanhede,M,19223,19200,19177
Coimbra,HM,143320,143410,143499
Coimbra,H,66924,66961,66998
Coimbra,M,76396,76449,76501
Condeixa-a-Nova,HM,17094,17087,17079
Condeixa-a-Nova,H,8005,7991,7976
Condeixa-a-Nova,M,9089,9096,9103
Figueira da Foz,HM,62239,62046,61853
Figueira da Foz,H,29455,29342,29229
Figueira da Foz,M,32784,32704,32624
Mira,HM,12489,12447,12404
Mira,H,5914,5881,5848
Mira,M,6575,6566,6556
Montemor-o-Velho,HM,26192,26138,26084
Montemor-o-Velho,H,12625,12587,12549
Montemor-o-Velho,M,13567,13551,13535
Penacova,HM,15281,15225,15168
Penacova,H,7229,7191,7153
Penacova,M,8052,8034,8015
