location,sex,population2010,meanpopulation,population2011
Fronteira,HM,3413,3397,3380
Fronteira,H,1630,1624,1618
Fronteira,M,1783,1773,1762
Gavião,HM,4152,4115,4078
Gavião,H,1969,1952,1935
Gavião,M,2183,2163,2143
Marvão,HM,3523,3504,3484
Marvão,H,1728,1720,1711
Marvão,M,1795,1784,1773
Monforte,HM,3337,3327,3316
Monforte,H,1559,1555,1550
Monforte,M,1778,1772,1766
Mora,HM,4996,4960,4923
Mora,H,2425,2405,2385
Mora,M,2571,2555,2538
Nisa,HM,7484,7420,7356
Nisa,H,3552,3519,3486
Nisa,M,3932,3901,3870
Ponte de Sor,HM,16752,16680,16608
Ponte de Sor,H,8102,8057,8011
Ponte de Sor,M,8650,8624,8597
Portalegre,HM,24969,24882,24795
Portalegre,H,11986,11941,11896
Portalegre,M,12983,12941,12899
Alentejo Central,HM,167028,166706,166383
Alentejo Central,H,80328,80140,79951
Alentejo Central,M,86700,86566,86432
Alandroal,HM,5859,5840,5820
Alandroal,H,2839,2833,2827
Alandroal,M,3020,3007,2993
Arraiolos,HM,7369,7358,7347
Arraiolos,H,3578,3572,3565
Arraiolos,M,3791,3787,3782
Borba,HM,7346,7328,7309
Borba,H,3622,3615,3607
Borba,M,3724,3713,3702
Estremoz,HM,14308,14278,14248
Estremoz,H,6804,6790,6775
Estremoz,M,7504,7489,7473
Évora,HM,56635,56638,56640
Évora,H,26845,26847,26848
Évora,M,29790,29791,29792
Montemor-o-Novo,HM,17476,17402,17327
Montemor-o-Novo,H,8498,8442,8385
Montemor-o-Novo,M,8978,8960,8942
Mourão,HM,2669,2661,2652
Mourão,H,1321,1314,1306
Mourão,M,1348,1347,1346
Portel,HM,6440,6411,6381
Portel,H,3156,3143,3130
Portel,M,3284,3268,3251
Redondo,HM,7048,7032,7015
Redondo,H,3443,3433,3423
Redondo,M,3605,3599,3592
Reguengos de Monsaraz,HM,10841,10816,10790
Reguengos de Monsaraz,H,5285,5270,5255
Reguengos de Monsaraz,M,5556,5546,5535
Sousel,HM,5092,5059,5025
Sousel,H,2383,2367,2351
Sousel,M,2709,2692,2674
Vendas Novas,HM,11849,11833,11817
Vendas Novas,H,5709,5696,5683
Vendas Novas,M,6140,6137,6134
Viana do Alentejo,HM,5759,5745,5730
Viana do Alentejo,H,2784,2774,2764
Viana do Alentejo,M,2975,2971,2966
Vila Viçosa,HM,8337,8310,8282
Vila Viçosa,H,4061,4047,4032
Vila Viçosa,M,4276,4263,4250
Baixo Alentejo,HM,126946,126449,125951
Baixo Alentejo,H,62091,61833,61574
Baixo Alentejo,M,64855,64616,64377
Aljustrel,HM,9279,9236,9192
Aljustrel,H,4590,4568,4546
Aljustrel,M,4689,4668,4646
Almodôvar,HM,7464,7421,7377
Almodôvar,H,3689,3666,3642
Almodôvar,M,3775,3755,3735
Alvito,HM,2513,2494,2474
Alvito,H,1202,1196,1189
Alvito,M,1311,1298,1285
Barrancos,HM,1837,1825,1813
Barrancos,H,893,886,879
Barrancos,M,944,939,934
Beja,HM,35895,35834,35773
Beja,H,17423,17382,17341
Beja,M,18472,18452,18432
Castro Verde,HM,7287,7257,7227
Castro Verde,H,3574,3558,3542
Castro Verde,M,3713,3699,3685
Cuba,HM,4884,4872,4860
Cuba,H,2386,2389,2391
Cuba,M,2498,2484,2469
Ferreira do Alentejo,HM,8278,8239,8199
Ferreira do Alentejo,H,4037,4014,3990
Ferreira do Alentejo,M,4241,4225,4209
Mértola,HM,7306,7255,7204
Mértola,H,3610,3584,3557
Mértola,M,3696,3672,3647
Moura,HM,15178,15143,15108
Moura,H,7444,7426,7408
Moura,M,7734,7717,7700
Ourique,HM,5420,5372,5324
Ourique,H,2670,2646,2621
Ourique,M,2750,2727,2703
Serpa,HM,15663,15582,15500
Serpa,H,7656,7613,7569
Serpa,M,8007,7969,7931
Vidigueira,HM,5942,5921,5900
Vidigueira,H,2917,2908,2899
Vidigueira,M,3025,3013,3001
Lezíria do Tejo,HM,247750,247323,246895
Lezíria do Tejo,H,119303,119078,118852
Lezíria do Tejo,M,128447,128245,128043
Almeirim,HM,23376,23376,23375
Almeirim,H,11103,11098,11093
Almeirim,M,12273,12278,12282
Alpiarça,HM,7715,7689,7662
Alpiarça,H,3706,3692,3677
Alpiarça,M,4009,3997,3985
Azambuja,HM,21851,21808,21764
Azambuja,H,11043,11017,10991
Azambuja,M,10808,10791,10773
Benavente,HM,29001,29042,29082
Benavente,H,14152,14167,14182
Benavente,M,14849,14875,14900
Cartaxo,HM,24500,24445,24390
Cartaxo,H,11866,11838,11809
Cartaxo,M,12634,12608,12581
Chamusca,HM,10138,10102,10066
Chamusca,H,4891,4874,4857
Chamusca,M,5247,5228,5209
Coruche,HM,19997,19909,19821
Coruche,H,9550,9505,9460
Coruche,M,10447,10404,10361
Golegã,HM,5469,5456,5442
Golegã,H,2565,2557,2548
Golegã,M,2904,2899,2894
Rio Maior,HM,21219,21191,21162
Rio Maior,H,10278,10264,10249
Rio Maior,M,10941,10927,10913
Salvaterra de Magos,HM,22194,22152,22109
Salvaterra de Magos,H,10657,10632,10607
Salvaterra de Magos,M,11537,11520,11502
Santarém,HM,62290,62156,62022
Santarém,H,29492,29436,29379
Santarém,M,32798,32721,32643
Algarve,HM,451241,451117,450993
Algarve,H,220189,219902,219614
Algarve,M,231052,231216,231379
Albufeira,HM,40792,40910,41027
Albufeira,H,20017,20068,20119
Albufeira,M,20775,20842,20908
Alcoutim,HM,2933,2907,2880
Alcoutim,H,1463,1452,1440
Alcoutim,M,1470,1455,1440
Aljezur,HM,5895,5876,5856
Aljezur,H,2916,2905,2893
Aljezur,M,2979,2971,2963
Castro Marim,HM,6755,6723,6691
Castro Marim,H,3363,3338,3312
Castro Marim,M,3392,3386,3379
Faro,HM,64589,64615,64640
Faro,H,30965,30950,30934
Faro,M,33624,33665,33706
Lagoa,HM,22980,22975,22970
Lagoa,H,11298,11284,11270
Lagoa,M,11682,11691,11700
Lagos,HM,31058,31079,31100
Lagos,H,15101,15094,15086
Lagos,M,15957,15986,16014
Loulé,HM,70650,70647,70644
Loulé,H,34471,34444,34416
Loulé,M,36179,36204,36228
Monchique,HM,6070,6023,5975
Monchique,H,3063,3031,2998
Monchique,M,3007,2992,2977
Olhão,HM,45395,45411,45426
Olhão,H,22197,22186,22174
Olhão,M,23198,23225,23252
Portimão,HM,55661,55695,55728
Portimão,H,26901,26887,26873
Portimão,M,28760,28808,28855
São Brás de Alportel,HM,10668,10630,10592
São Brás de Alportel,H,5233,5207,5181
São Brás de Alportel,M,5435,5423,5411
Silves,HM,37167,37098,37029
Silves,H,18570,18507,18444
Silves,M,18597,18591,18585
Tavira,HM,26203,26130,26056
Tavira,H,12845,12782,12719
Tavira,M,13358,13348,13337
Vila do Bispo,HM,5264,5271,5277
Vila do Bispo,H,2631,2632,2633
Vila do Bispo,M,2633,2639,2644
Vila Real de Santo António,HM,19161,19132,19102
Vila Real de Santo António,H,9155,9139,9122
Vila Real de Santo António,M,10006,9993,9980
Região Autónoma dos Açores,HM,246732,246899,247066
Região Autónoma dos Açores,H,121508,121578,121648
Região Autónoma dos Açores,M,125224,125321,125418
Angra do Heroísmo,HM,35409,35406,35402
Angra do Heroísmo,H,17266,17254,17242
Angra do Heroísmo,M,18143,18152,18160
Calheta (R.A.A.),HM,3784,3778,3771
Calheta (R.A.A.),H,1883,1878,1872
Calheta (R.A.A.),M,1901,1900,1899
Corvo,HM,429,429,428
Corvo,H,240,240,239
Corvo,M,189,189,189
Horta,HM,14996,14995,14993
Horta,H,7328,7325,7321
Horta,M,7668,7670,7672
Lagoa (R.A.A),HM,14404,14425,14445
Lagoa (R.A.A),H,7145,7155,7164
Lagoa (R.A.A),M,7259,7270,7281
Lajes das Flores,HM,1514,1508,1502
Lajes das Flores,H,784,782,779
Lajes das Flores,M,730,727,723
Lajes do Pico,HM,4721,4705,4688
Lajes do Pico,H,2335,2328,2320
Lajes do Pico,M,2386,2377,2368
Madalena,HM,6055,6037,6018
Madalena,H,2960,2954,2947
Madalena,M,3095,3083,3071
Nordeste,HM,4951,4943,4935
Nordeste,H,2450,2452,2453
Nordeste,M,2501,2492,2482
Ponta Delgada,HM,68793,68893,68992
Ponta Delgada,H,33504,33551,33598
Ponta Delgada,M,35289,35342,35394
Povoação,HM,6331,6329,6326
Povoação,H,3092,3090,3088
Povoação,M,3239,3239,3238
Ribeira Grande,HM,32050,32151,32252
Ribeira Grande,H,16156,16203,16249
Ribeira Grande,M,15894,15949,16003
Santa Cruz da Graciosa,HM,4400,4389,4378
Santa Cruz da Graciosa,H,2175,2173,2170
Santa Cruz da Graciosa,M,2225,2217,2208
Santa Cruz das Flores,HM,2292,2289,2286
Santa Cruz das Flores,H,1135,1133,1131
Santa Cruz das Flores,M,1157,1156,1155
São Roque do Pico,HM,3392,3395,3397
São Roque do Pico,H,1665,1668,1670
São Roque do Pico,M,1727,1727,1727
Velas,HM,5408,5389,5370
Velas,H,2689,2678,2667
Velas,M,2719,2711,2703
Vila da Praia da Vitória,HM,21036,21053,21070
Vila da Praia da Vitória,H,10440,10444,10447
Vila da Praia da Vitória,M,10596,10610,10623
Vila do Porto,HM,5555,5556,5556
Vila do Porto,H,2689,2690,2691
Vila do Porto,M,2866,2866,2865
Vila Franca do Campo,HM,11212,11235,11257
Vila Franca do Campo,H,5572,5586,5600
Vila Franca do Campo,M,5640,5649,5657
Região Autónoma da Madeira,HM,268045,267293,266540
Região Autónoma da Madeira,H,126455,125914,125372
Região Autónoma da Madeira,M,141590,141379,141168
Calheta (R.A.M.),HM,11539,11484,11428
Calheta (R.A.M.),H,5226,5193,5160
Calheta (R.A.M.),M,6313,6291,6268
Câmara de Lobos,HM,35679,35647,35614
Câmara de Lobos,H,17243,17200,17156
Câmara de Lobos,M,18436,18447,18458
Funchal,HM,112058,111674,111289
Funchal,H,52197,51945,51692
Funchal,M,59861,59729,59597
Machico,HM,21838,21772,21705
Machico,H,10617,10569,10521
Machico,M,11221,11203,11184
Ponta do Sol,HM,8860,8844,8827
Ponta do Sol,H,4082,4065,4047
Ponta do Sol,M,4778,4779,4780
Porto Moniz,HM,2714,2698,2681
Porto Moniz,H,1185,1176,1167
Porto Moniz,M,1529,1522,1514
Porto Santo,HM,5483,5468,5453
Porto Santo,H,2750,2734,2717
Porto Santo,M,2733,2735,2736
Ribeira Brava,HM,13382,13329,13275
Ribeira Brava,H,6052,6019,5985
Ribeira Brava,M,7330,7310,7290
Santa Cruz,HM,43032,43005,42977
Santa Cruz,H,20896,20859,20821
Santa Cruz,M,22136,22146,22156
Santana,HM,7729,7683,7636
Santana,H,3538,3510,3481
Santana,M,4191,4173,4155
São Vicente,HM,5731,5693,5655
São Vicente,H,2669,2647,2625
São Vicente,M,3062,3046,3030
