"date","dist","index_w","pop","index"
2018-05-06,"IBERDROLA",0,21074760,-0.275789099245828
2018-05-06,"NATURGY",0,4177851,-0.275789099245828
2018-05-06,"REPSOL",0,589235,-0.275789099245828
2018-05-13,"EDP",0,1085289,-0.275789099245828
2018-05-13,"ENDESA",0.211092643758652,19666538,-0.263174582023343
2018-05-13,"IBERDROLA",0.434289453355578,21074760,-0.24983674159209
2018-05-13,"NATURGY",0.960540957540132,4177851,-0.218388896964758
2018-05-13,"REPSOL",0,589235,-0.275789099245828
2018-05-20,"EDP",0,1085289,-0.275789099245828
2018-05-20,"ENDESA",0.211092643758652,19666538,-0.263174582023343
2018-05-20,"IBERDROLA",0.103069975648596,21074760,-0.269629822637275
2018-05-20,"NATURGY",0,4177851,-0.275789099245828
2018-05-20,"REPSOL",0,589235,-0.275789099245828
2018-05-27,"EDP",0,1085289,-0.275789099245828
2018-05-27,"ENDESA",0.211092643758652,19666538,-0.263174582023343
2018-05-27,"IBERDROLA",0.185102226549674,21074760,-0.264727722671281
2018-05-27,"NATURGY",0.582552130269844,4177851,-0.240976830331871
2018-05-27,"REPSOL",0,589235,-0.275789099245828
2018-06-03,"EDP",2,1085289,-0.156272691683015
2018-06-03,"ENDESA",0.190054294253518,19666538,-0.264431796000295
2018-06-03,"IBERDROLA",0.45459108431128,21074760,-0.248623552592344
2018-06-03,"NATURGY",0,4177851,-0.275789099245828
2018-06-03,"REPSOL",0,589235,-0.275789099245828
2018-06-10,"EDP",0,1085289,-0.275789099245828
2018-06-10,"ENDESA",0.401146938012171,19666538,-0.25181727877781
2018-06-10,"IBERDROLA",0.702793293968709,21074760,-0.23379143436864
2018-06-10,"NATURGY",0.582552130269844,4177851,-0.240976830331871
2018-06-10,"REPSOL",0,589235,-0.275789099245828
2018-06-17,"EDP",0,1085289,-0.275789099245828
2018-06-17,"ENDESA",0.422185287517305,19666538,-0.250560064800858
2018-06-17,"IBERDROLA",0.0410161254505389,21074760,-0.273338049262831
2018-06-17,"NATURGY",0.291276065134922,4177851,-0.258382964788849
2018-06-17,"REPSOL",0,589235,-0.275789099245828
2018-06-24,"EDP",0,1085289,-0.275789099245828
2018-06-24,"ENDESA",0.401146938012171,19666538,-0.25181727877781
2018-06-24,"IBERDROLA",0.601979998823237,21074760,-0.239815855803819
2018-06-24,"NATURGY",0.622011172729712,4177851,-0.238618828831535
